time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2000-01-01,9.6,-2.9,6.9,-6.5,0.00,0.00,12.2,222,8.66,0.87
2000-01-02,14.5,0.7,13.2,-2.8,0.00,0.00,18.1,211,5.39,0.84
2000-01-03,15.7,10.3,16.0,8.3,1.10,0.00,17.1,210,3.98,0.64
2000-01-04,15.8,9.1,13.5,6.9,16.20,0.00,24.3,201,2.38,0.57
2000-01-05,8.2,-2.8,5.5,-7.1,3.20,0.00,25.0,310,8.99,1.56
2000-01-06,5.0,-4.6,0.7,-8.8,0.00,0.00,13.8,148,8.80,1.03
2000-01-07,7.9,-1.9,3.3,-5.4,0.00,0.00,21.8,256,7.17,1.07
2000-01-08,3.5,-4.0,-1.0,-8.1,0.00,0.00,13.1,251,9.50,1.17
2000-01-09,9.6,0.1,6.9,-4.3,0.00,0.00,14.1,215,8.55,1.20
2000-01-10,11.9,3.2,10.5,0.7,16.50,0.00,26.8,155,0.90,0.33
2000-01-11,10.6,3.7,4.3,-2.8,0.30,0.00,30.7,245,6.65,1.99
2000-01-12,6.9,-0.4,2.0,-4.0,0.00,0.00,24.5,282,9.89,1.83
2000-01-13,1.8,-7.3,-1.8,-14.7,6.10,3.78,26.0,3,1.44,0.62
2000-01-14,-5.1,-10.3,-13.1,-17.9,0.00,0.00,30.3,314,10.51,1.25
2000-01-15,-3.4,-9.3,-7.7,-14.3,0.00,0.00,16.4,289,10.58,0.97
2000-01-16,6.8,-4.7,1.5,-12.5,0.00,0.00,29.3,253,5.95,1.44
2000-01-17,-6.0,-14.8,-13.9,-23.2,0.00,0.00,31.2,323,11.13,1.13
2000-01-18,-6.6,-15.6,-11.4,-21.6,0.00,0.00,18.2,329,9.37,0.86
2000-01-19,-2.0,-11.3,-7.2,-16.2,0.00,0.00,12.7,314,10.91,1.05
2000-01-20,-0.6,-6.6,-6.0,-11.2,3.60,2.52,19.1,43,4.24,0.64
2000-01-21,-5.9,-13.0,-11.5,-20.2,0.00,0.00,35.1,307,11.43,1.01
2000-01-22,-6.6,-14.6,-12.9,-21.2,0.00,0.00,24.5,287,11.69,0.95
2000-01-23,-1.0,-8.8,-5.3,-13.1,0.00,0.00,11.2,68,7.87,0.75
2000-01-24,3.5,-4.2,0.2,-8.5,0.00,0.00,11.4,22,10.01,1.02
2000-01-25,-2.4,-3.7,-7.9,-10.9,21.40,11.90,33.6,14,1.96,0.56
2000-01-26,-1.9,-8.5,-7.2,-14.2,2.10,1.68,25.1,307,10.91,0.93
2000-01-27,-8.7,-13.8,-14.7,-19.8,0.00,0.00,22.0,305,12.46,0.74
2000-01-28,-7.1,-15.2,-13.3,-21.5,0.00,0.00,21.9,292,12.60,0.77
2000-01-29,-1.4,-16.2,-5.7,-21.7,0.00,0.00,11.8,323,13.11,0.93
2000-01-30,0.4,-11.1,-3.1,-15.7,9.30,6.51,17.3,12,7.37,0.74
2000-01-31,5.0,-5.5,2.1,-10.7,12.00,3.85,24.1,264,11.57,0.96
2000-02-01,0.1,-7.0,-5.3,-12.4,0.00,0.00,20.5,253,10.59,0.97
2000-02-02,-3.1,-8.3,-10.1,-14.0,0.00,0.00,28.0,291,12.80,1.13
2000-02-03,-1.3,-10.8,-5.3,-16.2,0.90,0.63,13.1,275,7.40,0.75
2000-02-04,0.5,-6.2,-2.7,-10.3,0.60,0.56,9.2,19,9.05,0.78
2000-02-05,-0.2,-5.6,-4.8,-10.7,0.00,0.14,18.2,268,13.55,1.13
2000-02-06,0.2,-7.2,-5.3,-12.4,0.00,0.00,18.7,266,14.03,1.19
2000-02-07,3.8,-7.4,-1.7,-12.2,0.00,0.00,22.2,262,12.91,1.31
2000-02-08,-2.4,-12.7,-6.2,-17.6,0.00,0.00,14.4,327,14.44,1.13
2000-02-09,6.0,-9.8,1.6,-14.5,0.00,0.00,19.6,224,12.97,1.21
2000-02-10,5.8,-2.8,2.6,-6.5,0.00,0.00,10.5,70,13.09,1.23
2000-02-11,7.2,-2.2,4.2,-8.2,0.70,0.00,20.9,286,7.93,1.00
2000-02-12,-0.8,-7.4,-4.8,-12.6,0.00,0.00,20.4,345,13.35,1.29
2000-02-13,3.2,-4.6,-1.0,-9.3,0.00,0.00,14.7,113,11.35,1.22
2000-02-14,10.8,2.8,7.4,-0.6,15.50,0.00,29.2,211,3.98,0.50
2000-02-15,4.8,-2.5,1.6,-8.4,0.00,0.00,22.9,304,14.91,1.63
2000-02-16,10.7,-3.4,8.1,-7.5,0.90,0.56,16.7,226,11.16,1.55
2000-02-17,1.5,-4.7,-3.3,-10.6,0.00,0.00,20.6,330,15.69,1.69
2000-02-18,1.5,-4.7,-2.9,-8.9,16.90,7.77,18.5,60,2.28,0.48
2000-02-19,0.7,-1.7,-2.9,-5.9,10.40,0.28,12.7,16,3.06,0.40
2000-02-20,2.6,-6.4,-2.3,-11.1,0.00,0.00,19.1,289,14.37,1.27
2000-02-21,4.1,-7.7,0.2,-12.3,0.00,0.00,11.9,272,15.42,1.45
2000-02-22,7.1,-3.5,4.1,-7.9,0.00,0.00,11.8,210,15.82,1.73
2000-02-23,11.2,-2.5,8.6,-6.7,0.00,0.00,10.7,223,11.15,1.39
2000-02-24,17.1,1.0,15.5,-2.2,0.00,0.00,11.5,218,14.35,2.06
2000-02-25,12.1,3.8,10.0,0.3,5.90,0.00,16.0,63,8.59,1.03
2000-02-26,8.0,2.8,5.5,-1.2,0.40,0.00,15.0,46,6.75,0.85
2000-02-27,13.8,4.5,12.0,2.3,0.00,0.00,21.6,169,8.51,1.11
2000-02-28,11.2,3.4,8.5,-1.8,7.60,0.00,24.9,286,11.56,1.96
2000-02-29,11.7,0.3,6.1,-5.1,0.00,0.00,23.2,315,17.55,2.79
2000-03-01,9.2,-0.6,5.5,-4.4,0.50,0.00,13.3,106,13.05,1.68
2000-03-02,7.7,1.2,2.8,-5.0,0.20,0.00,25.9,294,13.18,2.08
2000-03-03,7.7,-0.4,1.3,-6.2,0.00,0.00,27.1,308,17.76,2.71
2000-03-04,10.1,-0.9,5.7,-6.1,0.00,0.00,17.6,302,18.26,2.63
2000-03-05,11.2,0.0,5.7,-3.7,0.00,0.00,22.7,307,15.09,2.38
2000-03-06,11.1,-0.2,6.1,-4.4,0.00,0.00,19.6,317,18.50,2.53
2000-03-07,16.0,-0.8,12.5,-4.2,0.00,0.00,14.8,253,18.21,2.83
2000-03-08,14.8,3.1,12.9,0.4,0.40,0.00,14.7,115,15.57,2.20
2000-03-09,21.9,5.3,21.4,3.2,0.20,0.00,12.7,207,15.64,2.69
2000-03-10,14.5,6.0,13.2,2.5,0.00,0.00,16.8,311,15.27,2.45
2000-03-11,7.2,4.1,4.1,0.2,19.80,0.00,24.1,71,3.10,0.47
2000-03-12,10.0,1.5,8.3,-4.6,9.10,0.00,24.8,317,4.81,1.08
2000-03-13,8.2,-1.2,3.8,-5.9,0.00,0.00,19.1,308,20.02,2.64
2000-03-14,11.1,0.3,7.4,-3.4,0.20,0.00,17.4,195,17.43,2.42
2000-03-15,17.2,1.4,14.0,-2.0,0.20,0.00,20.3,203,19.02,3.23
2000-03-16,17.7,7.7,16.3,4.2,3.90,0.00,15.7,213,11.55,2.45
2000-03-17,10.8,-0.9,9.6,-7.5,25.60,1.47,27.3,360,3.90,0.94
2000-03-18,2.4,-5.1,-1.3,-11.2,0.00,0.00,21.6,29,21.54,2.39
2000-03-19,4.2,-2.3,0.7,-5.8,0.00,0.07,12.8,110,17.51,1.75
2000-03-20,6.6,0.5,2.4,-3.7,0.00,0.00,17.7,76,13.56,1.54
2000-03-21,6.4,3.0,1.9,-1.5,0.00,0.00,22.5,64,5.16,0.96
2000-03-22,9.0,2.9,6.2,-1.2,0.00,0.00,20.4,53,8.74,1.27
2000-03-23,15.0,-0.3,14.8,-3.3,0.00,0.00,8.6,58,20.83,2.73
2000-03-24,17.7,3.8,17.5,0.7,0.00,0.00,11.5,349,21.70,3.37
2000-03-25,16.7,4.0,14.6,1.0,0.40,0.00,16.0,204,17.58,2.79
2000-03-26,16.1,7.7,11.7,4.0,1.10,0.00,22.9,285,17.37,3.35
2000-03-27,14.5,2.1,11.8,-0.9,0.10,0.00,21.2,140,21.15,2.97
2000-03-28,14.1,8.3,9.1,5.0,12.60,0.00,25.8,228,15.92,2.62
2000-03-29,11.9,4.8,6.1,1.2,0.00,0.00,32.6,257,18.62,2.87
2000-03-30,12.4,2.4,8.5,-1.1,0.00,0.00,19.1,265,14.85,2.44
2000-03-31,12.4,0.4,9.5,-3.1,0.00,0.00,15.6,329,19.92,2.92
2000-04-01,15.7,1.5,13.1,-1.6,0.00,0.00,12.7,244,23.57,3.52
2000-04-02,17.1,5.4,14.0,2.4,0.00,0.00,18.9,209,11.46,2.32
2000-04-03,18.0,10.2,18.1,9.5,0.00,0.00,12.2,180,7.64,1.39
2000-04-04,16.9,10.9,15.8,6.8,5.20,0.00,25.8,222,3.36,1.18
2000-04-05,9.9,3.8,5.8,-2.1,0.00,0.00,30.3,282,16.17,3.11
2000-04-06,19.2,1.2,16.5,-2.2,0.60,0.00,19.9,226,19.47,3.55
2000-04-07,16.0,4.8,13.6,2.0,0.00,0.00,15.5,216,19.32,3.25
2000-04-08,20.3,8.5,17.8,4.8,0.50,0.00,30.2,172,23.86,3.90
2000-04-09,10.6,-0.5,7.6,-7.7,18.40,7.84,39.6,295,9.26,1.59
2000-04-10,10.9,0.7,6.0,-3.8,0.50,0.00,25.1,277,21.88,2.81
2000-04-11,8.5,1.0,5.5,-2.2,1.20,0.07,13.6,83,13.23,1.77
2000-04-12,10.1,3.4,6.1,-0.6,1.00,0.00,24.4,320,22.10,2.88
2000-04-13,8.9,-0.4,7.8,-4.6,0.00,0.00,13.0,264,25.86,3.33
2000-04-14,11.5,1.2,9.8,-1.8,0.00,0.00,14.9,170,25.29,3.21
2000-04-15,16.2,5.3,16.9,3.0,5.00,0.00,8.8,181,7.36,1.22
2000-04-16,23.3,11.5,24.3,10.6,6.40,0.00,16.9,342,16.12,2.84
2000-04-17,12.2,5.0,9.1,0.4,7.00,0.00,22.7,72,4.21,1.06
2000-04-18,6.5,4.6,2.3,-0.5,6.80,0.00,25.3,49,2.26,0.74
2000-04-19,13.5,5.7,11.6,1.5,1.50,0.00,21.4,28,9.90,1.55
2000-04-20,15.7,6.3,15.4,4.5,0.00,0.00,13.3,119,16.85,2.58
2000-04-21,10.5,7.9,7.5,5.3,29.80,0.00,24.6,90,2.79,0.53
2000-04-22,10.8,6.8,8.4,3.6,6.50,0.00,20.3,353,5.37,0.89
2000-04-23,9.8,6.2,5.8,2.9,1.70,0.00,19.4,323,4.24,1.10
2000-04-24,18.7,5.7,16.3,1.9,0.00,0.00,18.9,316,25.56,4.16
2000-04-25,13.2,6.1,10.4,2.7,0.00,0.00,19.5,67,19.62,2.81
2000-04-26,8.0,4.3,4.4,-0.2,0.10,0.00,20.1,38,10.68,1.86
2000-04-27,10.7,2.9,7.9,0.2,0.00,0.00,9.7,239,12.81,1.84
2000-04-28,14.0,3.2,14.1,0.3,0.10,0.00,10.7,233,17.92,2.55
2000-04-29,17.5,4.5,15.2,2.0,0.00,0.00,17.0,30,24.11,3.63
2000-04-30,16.5,8.3,12.1,4.6,0.00,0.00,23.6,324,28.00,4.71
2000-05-01,16.5,5.5,13.2,2.4,0.60,0.00,19.9,197,22.56,3.91
2000-05-02,17.8,9.2,15.6,6.6,7.50,0.00,21.9,311,18.44,3.00
2000-05-03,16.6,6.0,16.2,3.2,0.00,0.00,14.9,108,27.28,4.01
2000-05-04,19.0,7.4,17.3,5.6,0.60,0.00,19.1,184,23.46,3.78
2000-05-05,28.1,12.5,29.4,10.9,2.30,0.00,13.0,263,23.54,4.60
2000-05-06,28.6,15.1,30.2,15.5,0.00,0.00,10.1,276,24.04,4.89
2000-05-07,30.8,16.7,32.7,17.2,0.00,0.00,14.7,267,25.38,5.73
2000-05-08,30.6,17.3,33.7,18.4,0.70,0.00,10.3,229,24.62,5.27
2000-05-09,30.9,19.7,31.9,20.0,0.00,0.00,20.0,239,24.29,5.68
2000-05-10,22.4,12.9,24.9,11.0,5.10,0.00,25.1,80,7.92,1.35
2000-05-11,21.9,12.4,20.0,11.1,0.00,0.00,22.7,306,26.73,4.71
2000-05-12,18.6,13.7,17.7,13.2,1.90,0.00,18.2,91,14.46,2.77
2000-05-13,22.6,13.1,25.3,12.7,16.10,0.00,15.0,89,18.60,3.15
2000-05-14,21.7,12.8,19.7,10.5,3.00,0.00,18.7,296,28.88,5.17
2000-05-15,17.1,9.6,13.2,7.2,0.00,0.00,20.4,303,23.12,4.20
2000-05-16,19.0,8.0,16.8,6.0,0.00,0.00,13.4,261,25.16,4.43
2000-05-17,19.5,12.9,18.4,10.6,0.00,0.00,15.5,195,20.64,3.93
2000-05-18,25.7,12.9,25.5,12.2,7.00,0.00,25.1,202,17.56,3.55
2000-05-19,18.6,9.8,20.4,6.4,6.30,0.00,21.3,46,4.44,0.98
2000-05-20,11.3,8.7,9.3,5.6,4.70,0.00,14.0,78,3.44,1.02
2000-05-21,13.0,10.8,12.6,9.5,1.50,0.00,8.4,120,4.09,0.93
2000-05-22,14.4,10.8,12.9,9.8,3.50,0.00,13.0,99,8.30,1.39
2000-05-23,18.5,10.4,17.4,9.8,2.60,0.00,18.5,179,13.01,2.27
2000-05-24,25.1,12.9,25.7,10.9,11.90,0.00,18.2,229,20.81,3.96
2000-05-25,22.5,13.7,20.9,13.8,1.30,0.00,26.0,267,24.24,4.50
2000-05-26,22.6,12.5,20.4,10.8,0.00,0.00,19.2,308,25.97,4.86
2000-05-27,19.6,10.4,17.5,8.8,0.00,0.00,16.3,271,16.46,3.11
2000-05-28,18.5,11.3,17.6,9.0,0.00,0.00,13.8,43,18.10,3.29
2000-05-29,16.9,11.6,15.5,10.1,0.00,0.00,16.4,76,18.06,3.21
2000-05-30,15.9,10.9,14.3,8.1,0.00,0.00,15.3,76,14.79,2.63
2000-05-31,19.4,9.5,20.3,8.3,0.00,0.00,9.8,136,24.30,3.90
2000-06-01,27.5,13.2,31.4,12.7,0.00,0.00,10.5,240,23.95,4.53
2000-06-02,30.9,16.1,33.9,16.7,0.00,0.00,15.6,256,26.85,5.78
2000-06-03,23.0,15.3,24.8,12.9,0.00,0.00,24.3,337,28.98,5.37
2000-06-04,21.5,12.0,21.6,11.1,0.00,0.00,17.0,171,23.37,4.42
2000-06-05,18.0,13.1,14.8,11.4,0.00,0.00,21.2,81,12.27,2.85
2000-06-06,13.9,10.9,11.7,7.6,23.70,0.00,24.5,18,2.55,0.84
2000-06-07,21.5,9.5,20.0,5.4,8.20,0.00,27.8,333,23.11,4.00
2000-06-08,24.1,12.3,24.7,11.6,0.00,0.00,16.1,223,21.36,4.32
2000-06-09,29.8,16.7,31.7,15.6,0.00,0.00,18.1,244,27.68,6.01
2000-06-10,31.9,19.0,33.7,19.4,0.00,0.00,16.3,252,29.38,6.65
2000-06-11,32.7,20.6,35.8,22.0,0.00,0.00,15.2,258,27.91,6.42
2000-06-12,24.8,14.2,28.6,13.5,8.80,0.00,15.5,105,11.01,2.11
2000-06-13,16.5,13.8,15.5,12.9,4.60,0.00,14.6,93,7.17,1.62
2000-06-14,16.6,13.4,15.9,12.4,3.10,0.00,13.3,102,5.78,1.37
2000-06-15,24.2,15.0,27.2,14.7,0.00,0.00,11.3,142,7.70,1.66
2000-06-16,28.9,20.5,32.8,23.1,0.20,0.00,17.6,212,17.86,3.78
2000-06-17,30.6,22.5,34.7,25.3,4.30,0.00,18.8,250,23.45,4.91
2000-06-18,21.8,19.3,25.1,21.0,6.70,0.00,11.3,73,12.67,2.45
2000-06-19,21.6,17.4,22.6,17.9,0.30,0.00,13.1,353,14.61,2.80
2000-06-20,26.5,14.2,27.6,13.9,0.00,0.00,11.3,307,27.73,5.34
2000-06-21,26.3,17.2,26.0,17.9,0.00,0.00,24.6,190,26.82,5.50
2000-06-22,27.3,19.8,28.7,20.9,5.00,0.00,16.3,243,16.59,3.77
2000-06-23,26.0,18.5,25.7,19.0,0.00,0.00,15.3,295,25.39,5.17
2000-06-24,27.5,17.9,29.1,18.6,0.00,0.00,15.4,176,23.20,4.93
2000-06-25,30.2,19.7,32.5,21.2,0.00,0.00,21.3,189,25.86,5.59
2000-06-26,30.4,21.7,35.7,24.8,16.60,0.00,14.1,217,22.08,4.62
2000-06-27,30.2,22.2,34.3,25.4,5.40,0.00,20.9,257,19.44,3.95
2000-06-28,25.8,18.5,27.6,19.9,1.20,0.00,13.3,131,21.79,4.30
2000-06-29,22.8,17.8,24.4,19.2,0.40,0.00,9.7,134,20.01,3.69
2000-06-30,24.6,17.0,24.7,17.7,0.00,0.00,15.4,293,27.15,5.09
2000-07-01,25.7,15.5,27.6,15.7,0.00,0.00,7.7,302,26.60,5.09
2000-07-02,29.0,16.4,30.2,17.1,0.00,0.00,10.9,233,27.23,5.66
2000-07-03,29.0,18.7,30.7,19.5,2.20,0.00,12.1,216,19.29,4.37
2000-07-04,27.4,20.8,30.1,23.3,0.20,0.00,10.8,251,18.22,3.87
2000-07-05,28.5,19.5,29.0,20.2,0.00,0.00,16.7,328,29.27,6.45
2000-07-06,25.0,16.3,26.8,15.2,0.00,0.00,12.8,4,27.99,5.51
2000-07-07,23.7,16.6,21.5,15.2,0.00,0.00,20.1,342,25.04,5.57
2000-07-08,25.0,14.4,23.9,12.6,0.00,0.00,16.6,324,25.94,5.62
2000-07-09,28.3,14.3,28.3,13.5,0.00,0.00,17.4,233,23.09,5.21
2000-07-10,31.5,22.2,32.1,22.8,0.20,0.00,20.8,276,22.77,6.13
2000-07-11,27.4,18.6,27.7,18.8,0.00,0.00,14.7,343,26.41,5.96
2000-07-12,27.3,17.3,26.8,16.3,0.00,0.00,14.2,356,25.77,5.81
2000-07-13,28.3,16.4,27.8,16.8,0.00,0.00,18.7,207,20.46,5.20
2000-07-14,26.1,16.5,26.3,17.4,1.80,0.00,18.2,182,18.98,4.27
2000-07-15,20.1,19.3,21.7,19.8,45.30,0.00,22.9,134,3.39,0.87
2000-07-16,25.4,18.2,27.9,20.5,0.70,0.00,11.6,175,21.86,4.08
2000-07-17,25.4,18.1,28.3,20.3,0.70,0.00,11.6,156,21.01,3.97
2000-07-18,29.5,19.2,31.5,19.9,0.00,0.00,20.2,256,24.04,5.31
2000-07-19,21.9,15.5,22.0,15.7,1.80,0.00,14.2,293,11.24,2.45
2000-07-20,23.3,15.2,22.9,15.5,0.00,0.00,16.1,13,19.01,3.62
2000-07-21,26.9,15.1,27.5,15.9,0.00,0.00,12.2,197,22.59,4.63
2000-07-22,26.0,18.4,25.9,18.9,0.00,0.00,16.9,289,22.50,4.85
2000-07-23,25.6,15.2,26.3,14.6,0.00,0.00,10.1,315,20.19,4.18
2000-07-24,24.3,16.3,24.0,16.9,0.00,0.00,10.9,75,13.65,3.04
2000-07-25,23.9,17.3,23.8,18.5,0.00,0.00,10.4,87,17.68,3.59
2000-07-26,19.3,17.8,21.1,18.2,51.60,0.00,20.1,61,2.19,0.68
2000-07-27,22.4,18.6,25.1,20.1,26.30,0.00,15.6,47,5.52,1.07
2000-07-28,23.1,18.2,25.3,19.5,0.50,0.00,10.3,40,10.79,2.16
2000-07-29,23.6,17.4,25.7,19.1,0.30,0.00,10.7,150,12.38,2.43
2000-07-30,24.0,18.1,27.5,20.1,2.50,0.00,10.9,109,8.00,1.63
2000-07-31,25.0,20.4,29.1,23.0,14.50,0.00,14.1,88,7.59,1.55
2000-08-01,26.1,20.2,30.4,22.3,8.90,0.00,13.9,79,10.84,2.21
2000-08-02,29.1,21.0,33.7,24.7,2.00,0.00,12.2,210,17.63,3.63
2000-08-03,27.7,22.7,31.1,26.1,2.70,0.00,14.0,221,14.37,3.05
2000-08-04,25.8,20.1,28.4,22.8,0.90,0.00,10.9,290,18.84,3.58
2000-08-05,25.4,18.0,26.4,17.9,0.00,0.00,13.7,343,24.48,4.85
2000-08-06,24.8,16.2,24.8,16.9,0.30,0.00,19.8,198,13.71,3.14
2000-08-07,31.2,22.1,34.5,24.2,3.90,0.00,18.6,234,19.25,4.17
2000-08-08,30.3,22.5,32.7,25.4,0.00,0.00,14.4,267,23.80,5.13
2000-08-09,30.4,21.5,34.0,24.1,0.00,0.00,14.2,233,20.93,4.80
2000-08-10,28.5,21.4,31.2,23.8,13.00,0.00,12.1,295,21.65,4.32
2000-08-11,26.5,19.8,30.0,22.5,10.10,0.00,9.8,50,19.09,3.61
2000-08-12,23.0,18.7,24.1,19.9,18.50,0.00,16.3,43,11.38,2.24
2000-08-13,21.6,17.4,21.2,16.6,0.60,0.00,21.4,35,7.92,2.27
2000-08-14,20.7,18.3,21.5,18.0,13.60,0.00,15.2,11,5.49,1.49
2000-08-15,25.2,18.2,26.8,19.0,0.80,0.00,14.1,346,15.27,2.99
2000-08-16,27.2,19.3,27.7,19.2,2.40,0.00,20.1,270,18.55,3.97
2000-08-17,23.1,16.0,22.7,15.5,0.00,0.00,14.5,298,23.28,4.41
2000-08-18,21.0,15.7,22.4,16.2,6.90,0.00,12.0,14,5.83,1.27
2000-08-19,23.1,14.9,23.4,13.9,0.00,0.00,15.1,328,20.67,3.75
2000-08-20,21.6,15.6,21.1,14.1,0.00,0.00,14.4,344,23.98,4.44
2000-08-21,22.6,12.2,23.0,10.7,0.00,0.00,11.3,352,24.22,4.31
2000-08-22,24.2,13.2,24.6,12.7,0.00,0.00,11.9,213,23.05,4.40
2000-08-23,23.7,16.1,23.0,16.2,4.20,0.00,20.2,199,14.80,3.03
2000-08-24,26.0,18.7,29.0,20.9,0.90,0.00,8.5,317,16.70,3.13
2000-08-25,25.9,16.8,28.6,16.7,0.00,0.00,13.0,7,21.92,4.13
2000-08-26,26.6,15.7,28.5,16.4,0.00,0.00,10.2,262,19.92,3.89
2000-08-27,27.2,17.1,29.7,17.8,0.00,0.00,11.2,212,19.87,3.95
2000-08-28,25.6,19.3,29.1,22.0,1.40,0.00,12.7,102,13.95,2.62
2000-08-29,24.2,19.7,24.7,20.0,0.10,0.00,18.4,76,16.11,3.17
2000-08-30,25.9,19.2,28.8,20.2,0.10,0.00,11.7,73,13.77,2.87
2000-08-31,27.1,20.3,29.5,23.2,0.20,0.00,13.3,116,16.22,3.23
2000-09-01,28.0,20.9,31.7,24.6,4.60,0.00,9.9,150,13.47,2.73
2000-09-02,27.4,21.8,32.3,25.9,7.60,0.00,10.1,212,10.29,2.09
2000-09-03,27.3,21.5,32.3,25.3,6.50,0.00,9.1,229,12.67,2.51
2000-09-04,26.0,17.9,29.4,14.7,7.40,0.00,23.7,347,13.14,2.96
2000-09-05,18.8,12.9,16.5,8.5,0.00,0.00,23.8,20,22.70,4.55
2000-09-06,19.1,12.0,18.1,9.5,0.00,0.00,15.1,49,21.02,3.66
2000-09-07,20.6,10.9,20.8,10.0,0.00,0.00,11.9,217,20.96,3.55
2000-09-08,24.6,12.5,25.3,11.6,0.00,0.00,13.1,233,20.39,3.77
2000-09-09,28.1,16.0,31.4,16.6,0.00,0.00,12.2,252,19.52,3.79
2000-09-10,26.1,18.8,29.0,21.3,0.20,0.00,11.7,96,17.61,3.35
2000-09-11,24.0,18.9,25.0,21.3,0.00,0.00,13.3,141,13.95,2.81
2000-09-12,26.8,18.2,27.7,20.2,0.00,0.00,16.5,194,12.70,2.90
2000-09-13,25.5,18.5,27.3,18.4,4.30,0.00,15.2,298,15.40,3.23
2000-09-14,23.8,14.7,25.7,14.6,0.00,0.00,13.8,110,16.02,3.16
2000-09-15,21.6,16.2,22.2,14.2,21.20,0.00,20.0,262,14.65,3.12
2000-09-16,18.1,12.2,14.9,10.3,0.00,0.00,16.3,302,15.72,3.18
2000-09-17,20.5,10.1,17.3,7.5,0.00,0.00,19.7,248,20.51,3.96
2000-09-18,23.9,12.7,24.3,11.1,0.00,0.00,13.5,232,18.27,3.69
2000-09-19,21.8,15.3,22.5,15.8,21.80,0.00,19.2,83,8.11,1.59
2000-09-20,27.3,16.8,28.6,16.6,1.10,0.00,18.0,257,19.59,3.83
2000-09-21,23.0,16.0,22.7,13.9,0.00,0.00,21.0,260,15.93,3.95
2000-09-22,19.6,11.7,19.4,9.9,0.00,0.00,11.3,282,19.69,3.42
2000-09-23,19.8,12.0,21.9,11.3,0.10,0.00,15.0,167,6.26,1.46
2000-09-24,22.2,16.9,23.6,15.6,1.80,0.00,15.1,295,5.83,1.42
2000-09-25,16.2,11.8,14.5,9.6,3.40,0.00,15.0,12,11.16,2.66
2000-09-26,13.0,10.6,10.2,7.8,18.50,0.00,24.6,17,2.64,0.83
2000-09-27,19.6,7.6,18.1,5.4,0.00,0.00,12.3,282,19.02,3.15
2000-09-28,17.9,10.7,16.2,7.8,0.00,0.00,15.5,349,15.45,2.74
2000-09-29,13.9,6.6,12.1,3.0,0.00,0.00,13.0,36,19.02,2.92
2000-09-30,17.3,9.9,16.2,7.8,0.00,0.00,10.3,184,17.58,2.74
2000-10-01,19.5,10.1,19.5,8.9,0.00,0.00,9.0,190,16.30,2.63
2000-10-02,20.8,10.3,21.0,9.3,0.00,0.00,7.9,33,14.61,2.37
2000-10-03,26.0,12.0,26.9,11.0,0.00,0.00,14.1,272,15.65,3.08
2000-10-04,23.2,12.5,24.8,11.9,3.40,0.00,14.6,125,14.95,2.62
2000-10-05,17.4,13.2,18.2,12.0,3.30,0.00,13.0,47,6.27,1.28
2000-10-06,23.0,14.8,24.5,12.8,0.00,0.00,17.6,264,6.70,1.63
2000-10-07,16.1,10.0,13.4,6.6,0.00,0.00,14.8,306,13.64,2.74
2000-10-08,12.5,5.4,8.2,1.6,0.10,0.00,15.7,296,15.69,2.74
2000-10-09,9.9,3.5,5.2,-1.0,0.00,0.00,17.6,336,14.13,2.31
2000-10-10,9.9,2.4,5.5,-1.8,0.60,0.00,24.7,277,12.87,2.04
2000-10-11,17.9,7.1,14.3,3.1,0.00,0.00,18.8,269,16.58,3.10
2000-10-12,20.2,5.4,18.5,3.2,0.00,0.00,10.5,281,16.33,2.74
2000-10-13,21.8,6.9,19.3,4.3,0.00,0.00,11.3,271,16.15,3.15
2000-10-14,24.1,10.1,22.4,8.5,0.00,0.00,12.9,254,15.75,3.39
2000-10-15,24.1,13.4,23.8,11.1,0.00,0.00,13.0,298,14.39,3.11
2000-10-16,16.0,12.7,14.9,10.5,0.00,0.00,17.4,84,3.41,1.14
2000-10-17,14.5,11.7,12.5,9.7,1.30,0.00,13.5,70,4.76,1.24
2000-10-18,17.1,12.3,17.6,10.6,6.30,0.00,14.3,53,4.06,0.90
2000-10-19,17.4,9.0,13.1,6.3,0.00,0.00,20.6,311,14.67,2.78
2000-10-20,17.9,5.9,15.4,3.5,0.00,0.00,10.7,243,14.99,2.52
2000-10-21,21.9,8.8,20.8,6.9,0.00,0.00,11.2,236,14.26,2.55
2000-10-22,15.1,8.4,12.3,4.8,0.00,0.00,17.2,9,14.96,2.85
2000-10-23,14.1,6.0,12.4,2.7,0.00,0.00,12.9,59,13.30,2.05
2000-10-24,18.3,5.9,16.5,3.7,0.00,0.00,11.4,239,13.73,2.12
2000-10-25,19.6,8.8,19.4,7.1,0.00,0.00,9.7,39,11.21,1.83
2000-10-26,19.0,10.6,18.6,10.4,0.00,0.00,7.9,157,10.30,1.63
2000-10-27,18.9,9.4,18.5,8.5,0.00,0.00,6.8,27,9.54,1.57
2000-10-28,14.3,5.4,12.7,0.2,0.00,0.00,28.4,333,13.59,2.85
2000-10-29,8.4,2.6,2.2,-3.5,0.10,0.00,23.8,328,11.49,2.33
